dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110002,12.090000,0.000028,0.005556,0.555556,55.555556,0.000001
0.010000,0.110071,12.090000,0.000097,0.006900,0.134430,-42.112602,6.283182
0.010000,0.110306,12.090000,0.000332,0.023493,1.659308,152.487819,6.283172
0.010000,0.110724,12.090000,0.000749,0.041767,1.827440,16.813178,6.283154
0.010000,0.111376,12.090000,0.001402,0.065267,2.349955,52.251510,6.283127
0.010000,0.112316,12.090000,0.002342,0.093996,2.872905,52.295010,6.283086
0.010000,0.113596,12.090000,0.003622,0.127961,3.396501,52.359610,6.283032
0.010000,0.115268,12.089999,0.005293,0.167171,3.920997,52.449621,6.282961
0.010000,0.117384,12.089999,0.007410,0.211638,4.446687,52.569003,6.282872
0.010000,0.119972,12.089998,0.009997,0.258763,4.712478,26.579127,6.282764
0.010000,0.123031,12.089996,0.013057,0.305944,4.718119,0.564077,6.282637
0.010000,0.126563,12.089994,0.016589,0.353192,4.724777,0.665794,6.282492
0.010000,0.130568,12.089991,0.020594,0.400516,4.732448,0.767124,6.282328
0.010000,0.135047,12.089987,0.025073,0.447927,4.741128,0.867959,6.282148
0.010000,0.140002,12.089981,0.030027,0.495435,4.750811,0.968305,6.281951
0.010000,0.145432,12.089974,0.035458,0.543050,4.761492,1.068098,6.281738
0.010000,0.151340,12.089965,0.041366,0.590782,4.773165,1.167296,6.281510
0.010000,0.157727,12.089953,0.047752,0.638640,4.785824,1.265868,6.281267
0.010000,0.164593,12.089939,0.054619,0.686635,4.799461,1.363773,6.281012
0.010000,0.171941,12.089922,0.061966,0.734776,4.814071,1.460997,6.280743
0.010000,0.179771,12.089902,0.069797,0.783072,4.829647,1.557569,6.280464
0.010000,0.188087,12.089878,0.078112,0.831534,4.846181,1.653398,6.280174
0.010000,0.196888,12.089850,0.086914,0.880170,4.863666,1.748540,6.279875
0.010000,0.206178,12.089818,0.096204,0.928991,4.882096,1.843003,6.279569
0.010000,0.215958,12.089781,0.105984,0.978006,4.901464,1.936797,6.279255
0.010000,0.226230,12.089739,0.116256,1.027224,4.921764,2.029947,6.278937
0.010000,0.236997,12.089692,0.127023,1.076654,4.942989,2.122483,6.278614
0.010000,0.248260,12.089638,0.138286,1.126305,4.965133,2.214449,6.278290
0.010000,0.260021,12.089579,0.150048,1.176187,4.988193,2.305951,6.277964
0.010000,0.272284,12.089513,0.162311,1.226308,5.012163,2.396992,6.277640
0.010000,0.285051,12.089440,0.175078,1.276679,5.037039,2.487683,6.277318
0.010000,0.298324,12.089360,0.188351,1.327307,5.062821,2.578122,6.277000
0.010000,0.312105,12.089273,0.202133,1.378202,5.089504,2.668385,6.276688
0.010000,0.326399,12.089178,0.216426,1.429373,5.117091,2.758646,6.276384
0.010000,0.341207,12.089075,0.231235,1.480829,5.145580,2.848941,6.276089
0.010000,0.356532,12.088964,0.246560,1.532579,5.174976,2.939524,6.275806
0.010000,0.372378,12.088845,0.262407,1.584631,5.205280,3.030457,6.275537
