dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,5.166500,0.000030,0.006000,0.600000,60.000000,0.000000
0.010000,0.000000,5.166500,0.000030,0.000000,-0.600000,-120.000000,0.000000
0.010000,0.000190,5.166500,0.000220,0.019000,1.900000,250.000000,0.000000
0.010000,0.000670,5.166500,0.000700,0.048000,2.900000,100.000000,0.000000
0.010000,0.001420,5.166500,0.001450,0.075000,2.700000,-20.000000,0.000000
0.010000,0.002500,5.166500,0.002530,0.108000,3.300000,60.000000,0.000000
0.010000,0.003970,5.166500,0.004000,0.147000,3.900000,60.000000,0.000000
0.010000,0.005890,5.166500,0.005920,0.192000,4.500000,60.000000,0.000000
0.010000,0.008320,5.166500,0.008350,0.243000,5.100000,60.000000,0.000000
0.010000,0.011320,5.166500,0.011350,0.300000,5.700000,60.000000,0.000000
0.010000,0.014950,5.166500,0.014980,0.363000,6.300000,60.000000,0.000000
0.010000,0.019270,5.166500,0.019300,0.432000,6.900000,60.000000,0.000000
0.010000,0.024340,5.166500,0.024370,0.507000,7.500000,60.000000,0.000000
0.010000,0.030220,5.166500,0.030250,0.588000,8.100000,60.000000,0.000000
0.010000,0.036970,5.166500,0.037000,0.675000,8.700000,60.000000,0.000000
0.010000,0.044650,5.166500,0.044680,0.768000,9.300000,60.000000,0.000000
0.010000,0.053320,5.166500,0.053350,0.867000,9.900000,60.000000,0.000000
0.010000,0.063040,5.166500,0.063070,0.972000,10.500000,60.000000,0.000000
0.010000,0.073870,5.166500,0.073900,1.083000,11.100000,60.000000,0.000000
0.010000,0.085870,5.166500,0.085900,1.200000,11.700000,60.000000,0.000000
0.010000,0.099100,5.166500,0.099130,1.323000,12.300000,60.000000,0.000000
0.010000,0.113620,5.166500,0.113650,1.452000,12.900000,60.000000,0.000000
0.010000,0.129490,5.166500,0.129520,1.587000,13.500000,60.000000,0.000000
0.010000,0.146770,5.166500,0.146800,1.728000,14.100000,60.000000,0.000000
0.010000,0.165520,5.166500,0.165550,1.875000,14.700000,60.000000,0.000000
0.010000,0.185770,5.166500,0.185800,2.025000,15.000000,30.000000,0.000000
0.010000,0.207520,5.166500,0.207550,2.175000,15.000000,-0.000000,0.000000
0.010000,0.230770,5.166500,0.230800,2.325000,15.000000,0.000000,0.000000
0.010000,0.255520,5.166500,0.255550,2.475000,15.000000,-0.000000,0.000000
0.010000,0.281770,5.166500,0.281800,2.625000,15.000000,0.000000,0.000000
0.010000,0.309520,5.166500,0.309550,2.775000,15.000000,-0.000000,0.000000
0.010000,0.338770,5.166500,0.338800,2.925000,15.000000,0.000000,0.000000
0.010000,0.369520,5.166500,0.369550,3.075000,15.000000,0.000000,0.000000
0.010000,0.401770,5.166500,0.401800,3.225000,15.000000,0.000000,0.000000
0.010000,0.435520,5.166500,0.435550,3.375000,15.000000,-0.000000,0.000000
0.010000,0.470770,5.166500,0.470800,3.525000,15.000000,0.000000,0.000000
0.010000,0.507520,5.166500,0.507550,3.675000,15.000000,-0.000000,0.000000
0.010000,0.545770,5.166500,0.545800,3.825000,15.000000,0.000000,0.000000
0.010000,0.585520,5.166500,0.585550,3.975000,15.000000,-0.000000,0.000000
0.010000,0.626770,5.166500,0.626800,4.125000,15.000000,-0.000000,0.000000
0.010000,0.669520,5.166500,0.669550,4.275000,15.000000,0.000000,0.000000
0.010000,0.713770,5.166500,0.713800,4.425000,15.000000,0.000000,0.000000
0.010000,0.759520,5.166500,0.759550,4.575000,15.000000,-0.000000,0.000000
0.010000,0.806770,5.166500,0.806800,4.725000,15.000000,0.000000,0.000000
0.010000,0.855520,5.166500,0.855550,4.875000,15.000000,0.000000,0.000000
0.010000,0.905770,5.166500,0.905800,5.025000,15.000000,0.000000,0.000000
0.010000,0.957520,5.166500,0.957550,5.175000,15.000000,-0.000000,0.000000
0.010000,1.010770,5.166500,1.010800,5.325000,15.000000,-0.000000,0.000000
0.010000,1.065520,5.166500,1.065550,5.475000,15.000000,0.000000,0.000000
0.010000,1.121770,5.166500,1.121800,5.625000,15.000000,-0.000000,0.000000
0.010000,1.179520,5.166500,1.179550,5.775000,15.000000,0.000000,0.000000
0.010000,1.238770,5.166500,1.238800,5.925000,15.000000,-0.000000,0.000000
0.010000,1.299520,5.166500,1.299550,6.075000,15.000000,-0.000000,0.000000
0.010000,1.361770,5.166500,1.361800,6.225000,15.000000,0.000000,0.000000
0.010000,1.425520,5.166500,1.425550,6.375000,15.000000,0.000000,0.000000
0.010000,1.490770,5.166500,1.490800,6.525000,15.000000,0.000000,0.000000
0.010000,1.557520,5.166500,1.557550,6.675000,15.000000,-0.000000,0.000000
0.010000,1.625770,5.166500,1.625800,6.825000,15.000000,-0.000000,0.000000
0.010000,1.695520,5.166500,1.695550,6.975000,15.000000,0.000000,0.000000
0.010000,1.766770,5.166500,1.766800,7.125000,15.000000,0.000000,0.000000
0.010000,1.839520,5.166500,1.839550,7.275000,15.000000,-0.000000,0.000000
0.010000,1.913770,5.166500,1.913800,7.425000,15.000000,0.000000,0.000000
0.010000,1.989520,5.166500,1.989550,7.575000,15.000000,-0.000000,0.000000
0.010000,2.066770,5.166500,2.066800,7.725000,15.000000,0.000000,0.000000
0.010000,2.145520,5.166500,2.145550,7.875000,15.000000,-0.000000,0.000000
0.010000,2.225770,5.166500,2.225800,8.025000,15.000000,0.000000,0.000000
0.010000,2.307520,5.166500,2.307550,8.175000,15.000000,-0.000000,0.000000
0.010000,2.390770,5.166500,2.390800,8.325000,15.000000,0.000000,0.000000
0.010000,2.475520,5.166500,2.475550,8.475000,15.000000,-0.000000,0.000000
0.010000,2.561770,5.166500,2.561800,8.625000,15.000000,0.000000,0.000000
0.010000,2.649520,5.166500,2.649550,8.775000,15.000000,-0.000000,0.000000
0.010000,2.738770,5.166500,2.738800,8.925000,15.000000,0.000000,0.000000
0.010000,2.829520,5.166500,2.829550,9.075000,15.000000,0.000000,0.000000
0.010000,2.921770,5.166500,2.921800,9.225000,15.000000,-0.000000,0.000000
0.010000,3.015520,5.166500,3.015550,9.375000,15.000000,0.000000,0.000000
0.010000,3.110770,5.166500,3.110800,9.525000,15.000000,0.000000,0.000000
0.010000,3.207520,5.166500,3.207550,9.675000,15.000000,0.000000,0.000000
0.010000,3.305770,5.166500,3.305800,9.825000,15.000000,-0.000000,0.000000
0.010000,3.405520,5.166500,3.405550,9.975000,15.000000,0.000000,0.000000
0.010000,3.506770,5.166500,3.506800,10.125000,15.000000,0.000000,0.000000
0.010000,3.609520,5.166500,3.609550,10.275000,15.000000,0.000000,0.000000
0.010000,3.713770,5.166500,3.713800,10.425000,15.000000,0.000000,0.000000
0.010000,3.819520,5.166500,3.819550,10.575000,15.000000,-0.000000,0.000000
0.010000,3.926770,5.166500,3.926800,10.725000,15.000000,0.000000,0.000000
0.010000,4.035520,5.166500,4.035550,10.875000,15.000000,-0.000000,0.000000
0.010000,4.145770,5.166500,4.145800,11.025000,15.000000,-0.000000,0.000000
0.010000,4.257520,5.166500,4.257550,11.175000,15.000000,0.000000,0.000000
0.010000,4.370770,5.166500,4.370800,11.325000,15.000000,-0.000000,0.000000
0.010000,4.485520,5.166500,4.485550,11.475000,15.000000,0.000000,0.000000
0.010000,4.601770,5.166500,4.601800,11.625000,15.000000,-0.000000,0.000000
0.010000,4.719520,5.166500,4.719550,11.775000,15.000000,0.000000,0.000000
0.010000,4.838770,5.166500,4.838800,11.925000,15.000000,0.000000,0.000000
0.010000,4.959520,5.166500,4.959550,12.075000,15.000000,0.000000,0.000000
0.010000,5.081770,5.166500,5.081800,12.225000,15.000000,-0.000000,0.000000
0.010000,5.205520,5.166500,5.205550,12.375000,15.000000,0.000000,0.000000
0.010000,5.330770,5.166500,5.330800,12.525000,15.000000,-0.000000,0.000000
0.010000,5.457520,5.166500,5.457550,12.675000,15.000000,0.000000,0.000000
0.010000,5.585770,5.166500,5.585800,12.825000,15.000000,0.000000,0.000000
0.010000,5.715520,5.166500,5.715550,12.975000,15.000000,0.000000,0.000000
0.010000,5.846770,5.166500,5.846800,13.125000,15.000000,-0.000000,0.000000
0.010000,5.979490,5.166500,5.979520,13.272000,14.700000,-30.000000,0.000000
0.010000,6.113620,5.166500,6.113650,13.413000,14.100000,-60.000000,0.000000
0.010000,6.249100,5.166500,6.249130,13.548000,13.500000,-60.000000,0.000000
0.010000,6.385870,5.166500,6.385900,13.677000,12.900000,-60.000000,0.000000
0.010000,6.523870,5.166500,6.523900,13.800000,12.300000,-60.000000,0.000000
0.010000,6.663040,5.166500,6.663070,13.917000,11.700000,-60.000000,0.000000
0.010000,6.803320,5.166500,6.803350,14.028000,11.100000,-60.000000,0.000000
0.010000,6.944650,5.166500,6.944680,14.133000,10.500000,-60.000000,0.000000
0.010000,7.086970,5.166500,7.087000,14.232000,9.900000,-60.000000,0.000000
0.010000,7.230220,5.166500,7.230250,14.325000,9.300000,-60.000000,0.000000
0.010000,7.374340,5.166500,7.374370,14.412000,8.700000,-60.000000,0.000000
0.010000,7.519270,5.166500,7.519300,14.493000,8.100000,-60.000000,0.000000
0.010000,7.664950,5.166500,7.664980,14.568000,7.500000,-60.000000,0.000000
0.010000,7.811320,5.166500,7.811350,14.637000,6.900000,-60.000000,0.000000
0.010000,7.958320,5.166500,7.958350,14.700000,6.300000,-60.000000,0.000000
0.010000,8.105890,5.166500,8.105920,14.757000,5.700000,-60.000000,0.000000
0.010000,8.253970,5.166500,8.254000,14.808000,5.100000,-60.000000,0.000000
0.010000,8.402500,5.166500,8.402530,14.853000,4.500000,-60.000000,0.000000
0.010000,8.551420,5.166500,8.551450,14.892000,3.900000,-60.000000,0.000000
0.010000,8.700670,5.166500,8.700700,14.925000,3.300000,-60.000000,0.000000
0.010000,8.850190,5.166500,8.850220,14.952000,2.700000,-60.000000,0.000000
0.010000,8.999920,5.166500,8.999950,14.973000,2.100000,-60.000000,0.000000
0.010000,9.149800,5.166500,9.149830,14.988000,1.500000,-60.000000,0.000000
0.010000,9.299770,5.166500,9.299800,14.997000,0.900000,-60.000000,0.000000
0.010000,9.449770,5.166500,9.449800,15.000000,0.300000,-60.000000,0.000000
0.010000,9.599770,5.166500,9.599800,15.000000,0.000000,-30.000000,0.000000
0.010000,9.749770,5.166500,9.749800,15.000000,0.000000,0.000000,0.000000
0.010000,9.899770,5.166500,9.899800,15.000000,-0.000000,-0.000000,0.000000
0.010000,10.049770,5.166500,10.049800,15.000000,0.000000,0.000000,0.000000
0.010000,10.199770,5.166500,10.199800,15.000000,-0.000000,-0.000000,0.000000
0.010000,10.349770,5.166500,10.349800,15.000000,0.000000,0.000000,0.000000
0.010000,10.499770,5.166500,10.499800,15.000000,-0.000000,-0.000000,0.000000
0.010000,10.649770,5.166500,10.649800,15.000000,0.000000,0.000000,0.000000
0.010000,10.799770,5.166500,10.799800,15.000000,-0.000000,-0.000000,0.000000
0.010000,10.949770,5.166500,10.949800,15.000000,0.000000,0.000000,0.000000
0.010000,11.099770,5.166500,11.099800,15.000000,-0.000000,-0.000000,0.000000
0.010000,11.249770,5.166500,11.249800,15.000000,0.000000,0.000000,0.000000
0.010000,11.399770,5.166500,11.399800,15.000000,0.000000,-0.000000,0.000000
0.010000,11.549770,5.166500,11.549800,15.000000,0.000000,0.000000,0.000000
0.010000,11.699770,5.166500,11.699800,15.000000,0.000000,0.000000,0.000000
0.010000,11.849770,5.166500,11.849800,15.000000,0.000000,-0.000001,0.000000
0.010000,11.999770,5.166500,11.999800,15.000000,-0.000000,-0.000000,0.000000
0.010000,12.149770,5.166500,12.149800,15.000000,0.000000,0.000000,0.000000
0.010000,12.299770,5.166500,12.299800,15.000000,0.000000,-0.000000,0.000000
0.010000,12.449770,5.166500,12.449800,15.000000,-0.000000,-0.000000,0.000000
0.010000,12.599770,5.166500,12.599800,15.000000,-0.000000,0.000000,0.000000
0.010000,12.749770,5.166500,12.749800,15.000000,0.000000,0.000000,0.000000
0.010000,12.899770,5.166500,12.899800,15.000000,-0.000000,-0.000000,0.000000
0.010000,13.049770,5.166500,13.049800,15.000000,0.000000,0.000000,0.000000
0.010000,13.199770,5.166500,13.199800,15.000000,-0.000000,-0.000000,0.000000
0.010000,13.349770,5.166500,13.349800,15.000000,0.000000,0.000000,0.000000
0.010000,13.499770,5.166500,13.499800,15.000000,-0.000000,-0.000000,0.000000
0.010000,13.649770,5.166500,13.649800,15.000000,0.000000,0.000000,0.000000
0.010000,13.799770,5.166500,13.799800,15.000000,-0.000000,-0.000000,0.000000
0.010000,13.949770,5.166500,13.949800,15.000000,-0.000000,0.000000,0.000000
0.010000,14.099770,5.166500,14.099800,15.000000,0.000000,0.000000,0.000000
0.010000,14.249770,5.166500,14.249800,15.000000,-0.000000,-0.000000,0.000000
0.010000,14.399770,5.166500,14.399800,15.000000,0.000000,0.000000,0.000000
0.010000,14.549770,5.166500,14.549800,15.000000,0.000000,0.000000,0.000000
0.010000,14.699770,5.166500,14.699800,15.000000,-0.000000,-0.000000,0.000000
0.010000,14.849770,5.166500,14.849800,15.000000,-0.000000,0.000000,0.000000
0.010000,14.999770,5.166500,14.999800,15.000000,0.000000,0.000000,0.000000
0.010000,15.149770,5.166500,15.149800,15.000000,-0.000000,-0.000000,0.000000
0.010000,15.299770,5.166500,15.299800,15.000000,0.000000,0.000000,0.000000
0.010000,15.449770,5.166500,15.449800,15.000000,0.000000,-0.000000,0.000000
0.010000,15.599770,5.166500,15.599800,15.000000,-0.000000,-0.000000,0.000000
0.010000,15.749770,5.166500,15.749800,15.000000,0.000000,0.000000,0.000000
0.010000,15.899770,5.166500,15.899800,15.000000,-0.000000,-0.000000,0.000000
0.010000,16.049770,5.166500,16.049800,15.000000,-0.000000,0.000000,0.000000
0.010000,16.199770,5.166500,16.199800,15.000000,0.000000,0.000000,0.000000
0.010000,16.349770,5.166500,16.349800,15.000000,0.000000,0.000000,0.000000
0.010000,16.499769,5.166500,16.499799,14.999883,-0.011666,-1.166563,0.000000
0.010000,16.649735,5.166500,16.649765,14.996650,-0.323331,-31.166563,0.000000
