dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.069999,21.400000,0.000029,0.005714,0.571429,57.142857,6.283185
0.010000,0.070004,21.400000,0.000033,0.000464,-0.525047,-109.647583,0.000000
0.010000,0.070263,21.400000,0.000293,0.025965,2.550081,307.512840,0.000002
0.010000,0.070725,21.400000,0.000754,0.046159,2.019469,-53.061262,0.000005
0.010000,0.071446,21.400000,0.001476,0.072124,2.596455,57.698682,0.000009
0.010000,0.072485,21.400000,0.002514,0.103858,3.173437,57.698214,0.000016
0.010000,0.073898,21.400000,0.003928,0.141362,3.750413,57.697519,0.000025
0.010000,0.075716,21.400000,0.005745,0.181751,4.038885,28.847188,0.000037
0.010000,0.077937,21.400000,0.007967,0.222140,4.038854,-0.003012,0.000051
0.010000,0.080562,21.400000,0.010592,0.262528,4.038818,-0.003682,0.000068
0.010000,0.083592,21.400001,0.013621,0.302916,4.038774,-0.004351,0.000087
0.010000,0.087025,21.400001,0.017054,0.343303,4.038724,-0.005021,0.000109
0.010000,0.090862,21.400001,0.020891,0.383690,4.038667,-0.005690,0.000134
0.010000,0.095102,21.400002,0.025132,0.424076,4.038603,-0.006360,0.000161
0.010000,0.099747,21.400003,0.029777,0.464461,4.038533,-0.007029,0.000191
0.010000,0.104795,21.400004,0.034825,0.504846,4.038456,-0.007699,0.000223
0.010000,0.110248,21.400005,0.040277,0.545229,4.038372,-0.008369,0.000258
0.010000,0.116104,21.400007,0.046133,0.585612,4.038282,-0.009038,0.000295
0.010000,0.122364,21.400009,0.052393,0.625994,4.038185,-0.009708,0.000335
0.010000,0.129027,21.400011,0.059057,0.666375,4.038081,-0.010377,0.000378
0.010000,0.136095,21.400014,0.066125,0.706754,4.037971,-0.011047,0.000423
0.010000,0.143566,21.400017,0.073596,0.747133,4.037854,-0.011717,0.000470
0.010000,0.151441,21.400021,0.081471,0.787510,4.037730,-0.012387,0.000520
0.010000,0.159720,21.400026,0.089750,0.827886,4.037599,-0.013057,0.000573
0.010000,0.168403,21.400031,0.098433,0.868261,4.037462,-0.013727,0.000628
0.010000,0.177489,21.400037,0.107519,0.908634,4.037318,-0.014397,0.000686
0.010000,0.186979,21.400044,0.117009,0.949006,4.037167,-0.015066,0.000746
0.010000,0.196873,21.400051,0.126903,0.989376,4.037010,-0.015737,0.000808
0.010000,0.207170,21.400060,0.137200,1.029744,4.036846,-0.016406,0.000873
0.010000,0.217872,21.400070,0.147901,1.070111,4.036675,-0.017077,0.000941
0.010000,0.228976,21.400081,0.159006,1.110476,4.036498,-0.017747,0.001010
0.010000,0.240485,21.400093,0.170514,1.150839,4.036313,-0.018417,0.001083
0.010000,0.252397,21.400106,0.182426,1.191200,4.036123,-0.019087,0.001157
0.010000,0.264712,21.400121,0.194742,1.231560,4.035925,-0.019758,0.001234
0.010000,0.277431,21.400137,0.207461,1.271917,4.035721,-0.020428,0.001314
0.010000,0.290554,21.400155,0.220584,1.312272,4.035510,-0.021099,0.001396
0.010000,0.304080,21.400174,0.234110,1.352625,4.035292,-0.021769,0.001480
0.010000,0.318010,21.400195,0.248040,1.392976,4.035068,-0.022440,0.001566
0.010000,0.332343,21.400218,0.262373,1.433324,4.034836,-0.023111,0.001655
0.010000,0.347080,21.400244,0.277110,1.473670,4.034599,-0.023781,0.001746
0.010000,0.362220,21.400271,0.292250,1.514013,4.034354,-0.024452,0.001840
0.010000,0.377764,21.400300,0.307793,1.554354,4.034103,-0.025123,0.001935
0.010000,0.393711,21.400332,0.323740,1.594693,4.033845,-0.025793,0.002033
0.010000,0.410061,21.400366,0.340091,1.635029,4.033580,-0.026465,0.002134
0.010000,0.426814,21.400402,0.356844,1.675362,4.033309,-0.027136,0.002236
0.010000,0.443971,21.400442,0.374001,1.715692,4.033031,-0.027807,0.002341
0.010000,0.461531,21.400484,0.391561,1.756020,4.032746,-0.028478,0.002447
0.010000,0.479495,21.400529,0.409525,1.796344,4.032455,-0.029149,0.002556
0.010000,0.497861,21.400577,0.427892,1.836666,4.032156,-0.029821,0.002667
0.010000,0.516631,21.400628,0.446661,1.876984,4.031851,-0.030492,0.002781
0.010000,0.535804,21.400682,0.465834,1.917300,4.031540,-0.031164,0.002896
0.010000,0.555380,21.400740,0.485410,1.957612,4.031222,-0.031835,0.003013
0.010000,0.575359,21.400801,0.505390,1.997921,4.030896,-0.032507,0.003133
0.010000,0.595741,21.400866,0.525772,2.038226,4.030565,-0.033178,0.003254
0.010000,0.616527,21.400935,0.546557,2.078529,4.030226,-0.033850,0.003378
0.010000,0.637715,21.401008,0.567746,2.118827,4.029881,-0.034522,0.003503
0.010000,0.659306,21.401085,0.589337,2.159123,4.029529,-0.035193,0.003631
0.010000,0.681300,21.401167,0.611331,2.199414,4.029170,-0.035866,0.003760
0.010000,0.703697,21.401252,0.633728,2.239703,4.028805,-0.036537,0.003892
0.010000,0.726496,21.401343,0.656528,2.279987,4.028433,-0.037210,0.004025
0.010000,0.749699,21.401437,0.679730,2.320267,4.028054,-0.037881,0.004160
0.010000,0.773304,21.401537,0.703336,2.360544,4.027669,-0.038553,0.004297
0.010000,0.797312,21.401642,0.727344,2.400817,4.027276,-0.039226,0.004436
0.010000,0.821723,21.401752,0.751755,2.441086,4.026877,-0.039898,0.004576
0.010000,0.846536,21.401867,0.776568,2.481350,4.026472,-0.040570,0.004719
0.010000,0.871752,21.401988,0.801785,2.521611,4.026059,-0.041243,0.004863
0.010000,0.897370,21.402115,0.827403,2.561867,4.025640,-0.041914,0.005009
0.010000,0.923391,21.402247,0.853424,2.602119,4.025214,-0.042587,0.005156
0.010000,0.949814,21.402385,0.879848,2.642367,4.024782,-0.043259,0.005305
0.010000,0.976640,21.402530,0.906674,2.682611,4.024342,-0.043932,0.005456
0.010000,1.003868,21.402680,0.933903,2.722850,4.023896,-0.044604,0.005608
0.010000,1.031498,21.402837,0.961534,2.763084,4.023443,-0.045277,0.005762
0.010000,1.059531,21.403001,0.989567,2.803314,4.022984,-0.045949,0.005918
0.010000,1.087966,21.403171,1.018002,2.843539,4.022518,-0.046622,0.006074
0.010000,1.116803,21.403349,1.046840,2.883760,4.022045,-0.047294,0.006233
0.010000,1.146042,21.403533,1.076079,2.923975,4.021565,-0.047967,0.006393
0.010000,1.175683,21.403725,1.105721,2.964186,4.021079,-0.048640,0.006554
0.010000,1.205727,21.403925,1.135765,3.004392,4.020586,-0.049312,0.006717
0.010000,1.236172,21.404132,1.166211,3.044593,4.020086,-0.049985,0.006881
0.010000,1.267019,21.404347,1.197059,3.084788,4.019579,-0.050658,0.007046
0.010000,1.298268,21.404569,1.228309,3.124979,4.019066,-0.051331,0.007212
0.010000,1.329919,21.404800,1.259960,3.165165,4.018546,-0.052003,0.007380
0.010000,1.361971,21.405039,1.292014,3.205345,4.018019,-0.052676,0.007549
0.010000,1.394426,21.405287,1.324469,3.245520,4.017486,-0.053348,0.007719
0.010000,1.427281,21.405544,1.357326,3.285689,4.016945,-0.054021,0.007890
0.010000,1.460539,21.405809,1.390585,3.325853,4.016398,-0.054694,0.008063
0.010000,1.494198,21.406083,1.424245,3.366012,4.015845,-0.055367,0.008236
0.010000,1.528258,21.406367,1.458306,3.406164,4.015284,-0.056039,0.008411
0.010000,1.562720,21.406660,1.492769,3.446312,4.014717,-0.056712,0.008586
0.010000,1.597584,21.406962,1.527634,3.486453,4.014143,-0.057385,0.008762
0.010000,1.632848,21.407274,1.562900,3.526589,4.013563,-0.058057,0.008940
0.010000,1.668514,21.407596,1.598567,3.566718,4.012976,-0.058730,0.009118
0.010000,1.704581,21.407928,1.634635,3.606842,4.012382,-0.059402,0.009297
0.010000,1.741049,21.408271,1.671105,3.646960,4.011781,-0.060075,0.009476
0.010000,1.777918,21.408623,1.707976,3.687072,4.011173,-0.060747,0.009657
0.010000,1.815188,21.408987,1.745247,3.727177,4.010559,-0.061420,0.009838
0.010000,1.852859,21.409361,1.782920,3.767277,4.009938,-0.062092,0.010020
0.010000,1.890930,21.409746,1.820994,3.807370,4.009311,-0.062764,0.010202
0.010000,1.929403,21.410142,1.859469,3.847457,4.008676,-0.063437,0.010385
0.010000,1.968276,21.410549,1.898344,3.887537,4.008035,-0.064109,0.010569
0.010000,2.007550,21.410968,1.937620,3.927611,4.007387,-0.064781,0.010753
0.010000,2.047224,21.411398,1.977297,3.967678,4.006733,-0.065453,0.010938
0.010000,2.087299,21.411840,2.017374,4.007739,4.006071,-0.066125,0.011123
0.010000,2.127775,21.412294,2.057852,4.047793,4.005404,-0.066797,0.011308
0.010000,2.168650,21.412760,2.098730,4.087840,4.004729,-0.067470,0.011493
0.010000,2.209927,21.413238,2.140009,4.127881,4.004047,-0.068141,0.011679
0.010000,2.251603,21.413729,2.181688,4.167914,4.003359,-0.068813,0.011865
0.010000,2.293679,21.414232,2.223768,4.207941,4.002664,-0.069485,0.012052
0.010000,2.336156,21.414748,2.266247,4.247960,4.001963,-0.070157,0.012238
0.010000,2.379032,21.415277,2.309127,4.287973,4.001255,-0.070829,0.012425
0.010000,2.422309,21.415819,2.352407,4.327978,4.000540,-0.071500,0.012611
0.010000,2.465985,21.416374,2.396087,4.367977,3.999818,-0.072172,0.012798
0.010000,2.510061,21.416942,2.440166,4.407968,3.999089,-0.072843,0.012984
0.010000,2.554536,21.417524,2.484646,4.447951,3.998354,-0.073514,0.013170
0.010000,2.599412,21.418119,2.529525,4.487927,3.997612,-0.074186,0.013357
0.010000,2.644687,21.418728,2.574804,4.527896,3.996864,-0.074857,0.013543
0.010000,2.690361,21.419351,2.620483,4.567857,3.996109,-0.075528,0.013728
0.010000,2.736435,21.419987,2.666561,4.607810,3.995347,-0.076199,0.013914
0.010000,2.782908,21.420638,2.713038,4.647756,3.994578,-0.076870,0.014099
0.010000,2.829780,21.421304,2.759915,4.687694,3.993802,-0.077541,0.014283
0.010000,2.877051,21.421983,2.807192,4.727624,3.993020,-0.078212,0.014468
0.010000,2.924722,21.422677,2.854867,4.767547,3.992232,-0.078882,0.014651
0.010000,2.972791,21.423386,2.902942,4.807461,3.991436,-0.079553,0.014834
0.010000,3.021259,21.424109,2.951415,4.847367,3.990634,-0.080224,0.015017
0.010000,3.070126,21.424848,3.000288,4.887266,3.989825,-0.080894,0.015198
0.010000,3.119392,21.425601,3.049560,4.927156,3.989009,-0.081564,0.015379
0.010000,3.169057,21.426369,3.099230,4.967038,3.988187,-0.082235,0.015560
0.010000,3.219120,21.427153,3.149299,5.006911,3.987358,-0.082905,0.015739
0.010000,3.269581,21.427952,3.199767,5.046776,3.986522,-0.083575,0.015918
0.010000,3.320441,21.428766,3.250633,5.086633,3.985680,-0.084245,0.016095
