dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.070001,24.400000,0.000029,0.005714,0.571429,57.142857,6.283185
0.010000,0.070003,24.400000,0.000031,0.000241,-0.547300,-111.872877,0.000000
0.010000,0.070258,24.400000,0.000286,0.025464,2.522266,306.956650,0.000002
0.010000,0.070711,24.400000,0.000738,0.045269,1.980531,-54.173483,0.000005
0.010000,0.071418,24.400000,0.001446,0.070733,2.546402,56.587032,0.000009
0.010000,0.072437,24.400000,0.002464,0.101856,3.112277,56.587500,0.000016
0.010000,0.073823,24.400000,0.003851,0.138638,3.678159,56.588196,0.000025
0.010000,0.075606,24.400000,0.005633,0.178249,3.961115,28.295670,0.000037
0.010000,0.077784,24.400000,0.007812,0.217860,3.961146,0.003012,0.000051
0.010000,0.080359,24.400000,0.010386,0.257472,3.961182,0.003682,0.000068
0.010000,0.083330,24.400001,0.013357,0.297084,3.961226,0.004352,0.000087
0.010000,0.086697,24.400001,0.016724,0.336697,3.961276,0.005020,0.000109
0.010000,0.090460,24.400001,0.020487,0.376310,3.961333,0.005691,0.000134
0.010000,0.094619,24.400002,0.024647,0.415924,3.961397,0.006359,0.000161
0.010000,0.099174,24.400003,0.029202,0.455539,3.961467,0.007029,0.000191
0.010000,0.104126,24.400004,0.034153,0.495154,3.961544,0.007699,0.000223
0.010000,0.109474,24.400005,0.039501,0.534771,3.961628,0.008368,0.000258
0.010000,0.115218,24.400007,0.045245,0.574388,3.961718,0.009038,0.000295
0.010000,0.121358,24.400009,0.051385,0.614006,3.961815,0.009707,0.000335
0.010000,0.127894,24.400011,0.057921,0.653625,3.961919,0.010378,0.000378
0.010000,0.134826,24.400014,0.064854,0.693246,3.962029,0.011047,0.000423
0.010000,0.142155,24.400017,0.072183,0.732867,3.962146,0.011717,0.000470
0.010000,0.149880,24.400021,0.079907,0.772490,3.962270,0.012387,0.000520
0.010000,0.158001,24.400025,0.088029,0.812114,3.962401,0.013057,0.000573
0.010000,0.166518,24.400030,0.096546,0.851739,3.962538,0.013726,0.000628
0.010000,0.175432,24.400036,0.105460,0.891366,3.962682,0.014396,0.000686
0.010000,0.184742,24.400043,0.114770,0.930994,3.962833,0.015067,0.000746
0.010000,0.194448,24.400050,0.124476,0.970624,3.962990,0.015736,0.000808
0.010000,0.204551,24.400059,0.134578,1.010256,3.963154,0.016407,0.000873
0.010000,0.215050,24.400068,0.145077,1.049889,3.963325,0.017077,0.000941
0.010000,0.225945,24.400079,0.155972,1.089524,3.963502,0.017747,0.001010
0.010000,0.237237,24.400091,0.167264,1.129161,3.963687,0.018417,0.001083
0.010000,0.248925,24.400104,0.178952,1.168800,3.963877,0.019088,0.001157
0.010000,0.261009,24.400118,0.191036,1.208440,3.964075,0.019757,0.001234
0.010000,0.273490,24.400134,0.203517,1.248083,3.964279,0.020428,0.001314
0.010000,0.286367,24.400152,0.216395,1.287728,3.964490,0.021098,0.001396
0.010000,0.299641,24.400171,0.229668,1.327375,3.964708,0.021770,0.001480
0.010000,0.313311,24.400192,0.243339,1.367024,3.964932,0.022440,0.001566
0.010000,0.327378,24.400214,0.257405,1.406676,3.965164,0.023110,0.001655
0.010000,0.341841,24.400239,0.271869,1.446330,3.965401,0.023781,0.001746
0.010000,0.356701,24.400266,0.286729,1.485987,3.965646,0.024452,0.001840
0.010000,0.371957,24.400294,0.301985,1.525646,3.965897,0.025123,0.001935
0.010000,0.387610,24.400325,0.317638,1.565307,3.966155,0.025794,0.002033
0.010000,0.403660,24.400359,0.333688,1.604971,3.966420,0.026464,0.002134
0.010000,0.420106,24.400395,0.350134,1.644638,3.966691,0.027136,0.002236
0.010000,0.436949,24.400433,0.366977,1.684308,3.966969,0.027807,0.002341
0.010000,0.454189,24.400475,0.384217,1.723980,3.967254,0.028478,0.002447
